slug,id,display_name,baseline_version,new_version,functional_class,source_support,source_refs,summary_review,purpose_review,problem_review,mechanism_review,procedure_review,trigger_review,os_fit_review,task_mapping_review,interaction_review,example_review,test_review,metadata_review,provenance_review,semantic_specificity,final_status,version_reason,notes
cot-structured-state-block,STATE-2025-12-03-T3,CoT-Structured State Block,1.0.0,1.1.0,state,strongly-derivable,"OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — Recovered residual upgradeables and orchestration/state listings (name_and_role_recovery); OS_Upgradeables_Historical_Recovery_Inventory.md — Recovered state-management inventory (historical_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — Structured state, provenance, and projection patterns (architectural_context)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.","The exact recovered label has limited prose, so the safe mechanism is a modern operationalization grounded in the addendum's structured-state and provenance architecture; it explicitly excludes private chain-of-thought."
counterfactual-integrity,T3-12,Counterfactual Integrity Gate,1.0.0,1.1.0,truth-grounding;drift-control,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — T3-12. Counterfactual Integrity Gate (current_consolidated_catalog); OS_Upgradeables_Historical_Recovery_Inventory.md — 8. Tier-3 / Paper-Author alignment family recovered from late-November work (historical_recovery_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 10.2 Semantic phase separation (historical_operating_context),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",The Lh/factual separation is directly recovered; the proposition-tagging representation is a normalized explicit-state implementation.
counterfactual-silence-scaffold,JAN26-06,Counterfactual Silence Scaffold,1.0.0,1.1.0,truth-grounding;output,source-gap,"OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — C. JANUARY 5, 2026 TRAINING / SCAFFOLDING UPGRADEABLES (exact_name_recovery); OS_Upgradeables_Historical_Recovery_Inventory.md — 5. January 5, 2026 — training/scaffolding Upgradeables snapshot (historical_recovery_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 6.2 T3 structured reasoning-state representation (related_historical_context)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_BY_SOURCE_GAP,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.","Only the historical name is exactly recovered. The filtering mechanism is a useful conservative modern operationalization, not a recovered original procedure."
crispr-edit,A-07,CRISPR Editing,1.0.0,1.1.0,editing-repair,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — A-07. CRISPR Editing (recovered-operational-definition); OS_Upgradeables_Historical_Recovery_Inventory.md — 11. Advanced architecture Upgradeables retained (recovered-architecture-membership); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 19.5 OS / Skill construction (recovered-crispr-versus-surgery-use),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.","The advanced CRISPR concept is operationally recovered. Frozen T2-024–030 individual member names remain unrecovered, but that gap does not block this A-07 package."
critical-atomic-verification,T3-04,Critical Atomic Verification,1.0.0,1.1.0,validation;truth-grounding,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — T3-04. Critical Atomic Verification (current_consolidated_catalog); OS_Upgradeables_Historical_Recovery_Inventory.md — T3-04. Critical Atomic Verification (historical_recovery_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 10.1 Source atomization (recovered_operating_detail),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",The critical-atom focus is directly recovered and retains veto semantics for indispensable facts.
cross-checking-chains,T3-07,Cross-Checking Chains,1.0.0,1.1.0,validation,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — T3-07. Cross-Checking Chains (current_consolidated_catalog); OS_Upgradeables_Historical_Recovery_Inventory.md — T3-07. Cross-Checking Chains (historical_recovery_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 8.1 QMS-M (recovered_operating_detail),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.","The recovered chain concept is preserved as ordered, typed validation rather than an undifferentiated checklist."
cross-context-resonance-lock,JAN26-11,Cross-Context Resonance Lock,1.0.0,1.1.0,orchestration;state,source-gap,OS_Upgradeables_Historical_Recovery_Inventory.md — Pack-derived Upgradeables — Resonance Upgradeable / Cross-Context Resonance Lock (historical_recovery_inventory); OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — Pack-derived exact names — Resonance Upgradeable / Cross-Context Resonance Lock (current_consolidated_catalog),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_BY_SOURCE_GAP,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",The historical name is recovered but the full original mechanism is not. This operational package remains provisional and labels its v0.2 mechanism as a modern interpretation.
cross-universe-consistency,T4-16,Cross-Universe Consistency Mode,1.0.0,1.1.0,validation;planning-reasoning,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — T4-16. Cross-Universe Consistency Mode (CUCM) (current_consolidated_catalog); OS_Upgradeables_Historical_Recovery_Inventory.md — T4-16. Cross-Universe Consistency Mode (CUCM) (historical_recovery_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 10.4 Multiverse / plan generation (recovered_architectural_context),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",CUCM is explicitly recovered; its branch-ledger representation is a faithful operationalization of cross-universe collapse integrity.
decision-first-scaffold,JAN26-04,Decision-First Scaffold,1.0.0,1.1.0,planning-reasoning;output,source-gap,"OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — C. JANUARY 5, 2026 TRAINING / SCAFFOLDING UPGRADEABLES (exact-name-only); OS_Upgradeables_Historical_Recovery_Inventory.md — 5. January 5, 2026 — training/scaffolding Upgradeables snapshot (exact-name-only)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_BY_SOURCE_GAP,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.","The exact historical name is recovered, but no historical operational definition was found in any of the three archived source documents. The included procedure is an explicitly modern, provisional interpretation."
domain-core-builder,C-00,Domain Core Builder,1.0.0,1.1.0,meta-control;context-retrieval,strongly-derivable,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — PART X. REASONING / SINGULARITY CORES (recovered-core-principle-and-schema); OS_Upgradeables_Historical_Recovery_Inventory.md — 13. Reasoning / Singularity Cores (recovered-core-family); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 14. BEHAVIOR GENE + CORE SEPARATION — HISTORICAL GENESIS (deep-recovered-core-boundary),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",The Core schema and historical separation are well recovered. The generic C-00 builder identity is a transparent normalization rather than a claimed recovered numbered Core.
domain-mode-isolation,T3-10,Domain / Mode Isolation,1.0.0,1.1.0,state;drift-control;orchestration,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — Domain Mode Isolation (current_consolidated_catalog); OS_Upgradeables_Historical_Recovery_Inventory.md — Domain Mode Isolation inventory entry (historical_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — Domain isolation and state projection example (deep_context_example),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",Direct catalog guidance and the addendum's domain-isolation example support the compartment-and-projection mechanism.
domain-normalized-drift,T4-11,Domain-Normalized Drift Field,1.0.0,1.1.0,drift-control,strongly-derivable,"OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — Domain-Normalized Drift (purpose_level_recovery); OS_Upgradeables_Historical_Recovery_Inventory.md — Domain-Normalized Drift inventory entry (historical_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — Domain isolation, drift widths, and risk profiles (related_architectural_context)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",The purpose is recovered directly; the versioned default-profile procedure is a modern normalization consistent with domain and drift-width architecture.
dominant-driver-isolation-scaffold,JAN26-03,Dominant-Driver Isolation Scaffold,1.0.0,1.1.0,planning-reasoning,source-gap,"OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — C. JANUARY 5, 2026 TRAINING / SCAFFOLDING UPGRADEABLES (exact-name-only); OS_Upgradeables_Historical_Recovery_Inventory.md — 5. January 5, 2026 — training/scaffolding Upgradeables snapshot (exact-name-only)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_BY_SOURCE_GAP,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",Exact name only. The operational content is an honest modern interpretation pending historical recovery.
drift-immunity-propagation,T4-14,Drift Immunity Propagation,1.0.0,1.1.0,drift-control;state,strongly-derivable,"OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — Drift Immunity Propagation (purpose_level_recovery); OS_Upgradeables_Historical_Recovery_Inventory.md — Drift Immunity Propagation inventory entry (historical_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — Semantic anchors, state projections, and fidelity checks (related_architectural_context)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.","The recovered purpose is clear; stable IDs, predicates, and lineage are a normalized implementation derived from state-projection and fidelity architecture."
drift-sink-scaffold,JAN26-10,Drift Sink Scaffold,1.0.0,1.1.0,drift-control;state,source-gap,"OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — Drift Sink Scaffold residual listings (name_only_recovery); OS_Upgradeables_Historical_Recovery_Inventory.md — Drift Sink Scaffold and ECL inventory entries (historical_name_only); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — State lifecycle, authority, and drift architecture (related_architectural_context)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,BLOCKED_BY_SOURCE_GAP,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",Only the label and unresolved ECL association survive. This reversible quarantine design is provisional and deliberately avoids inventing the lost mechanism.
drift-spectra-scaling,T4-09,Drift-Spectra Scaling,1.0.0,1.1.0,drift-control;meta-control,strongly-derivable,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — Drift Spectra Scaling (purpose_level_recovery); OS_Upgradeables_Historical_Recovery_Inventory.md — Drift Spectra Scaling inventory entry (historical_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — Drift-width spectrum and fidelity mapping (related_architectural_context),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",The recovered purpose clearly concerns a spectrum; operational bands and classification factors are a conservative normalization from addendum drift-width material.
drift-suppression,T1-02,Drift Suppression,1.0.0,1.1.0,drift-control;validation,sufficiently-recovered,"OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — T1-02. Drift Suppression (current_consolidated_catalog); OS_Upgradeables_Historical_Recovery_Inventory.md — Drift Suppression inventory entry (historical_inventory); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — Stability guards, semantic anchoring, and fidelity workflows (deep_context_support)",PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.","This is a core Tier-1 recovered control, with later sources reinforcing anchor/check/repair semantics."
dynamic-depth-allocation,T4-12,Dynamic Depth Allocation,1.0.0,1.1.0,meta-control;planning-reasoning,sufficiently-recovered,OS_Upgradeable_to_Skills_Translation_Catalog_v2_Recovery_Merged.md — T4-12. Dynamic Depth Allocation (DDA) (recovered-operational-definition); OS_Upgradeables_Historical_Recovery_Inventory.md — 10. Tier-4 / Meta-Supervisor recovered family (recovered-name-and-family); OS_Upgradeables_Deep_Context_Recovery_Addendum_2026-09-03.md — 8.2 QMS-RTS — Risk-Tier-Split QMS (recovered-adjacent-risk-depth-mechanism),PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"Minor version: compatible semantic detail, metadata, examples, and behavior cases were added without changing package identity.",The exact allocation purpose is recovered; the regional scoring loop is a conservative normalization supported by recovered risk-tier depth selection.
