slug,version,plain_display_name,primary_task_archetypes,secondary_task_archetypes,primary_failure_modes,secondary_failure_modes,pipeline_stages,environment_promoters,environment_demoters,default_complexity_min,default_complexity_max,project_profile_priors,normally_exclude_for,escalates_from,escalates_to,counterbalance_notes,source_support,review_status,notes
citation-fidelity,1.1.0,Citation Fidelity Gate,"[""research-grounding"", ""evaluation-audit""]","[""content-authoring"", ""content-understanding""]","[""citation-source-mismatch"", ""provenance-loss""]","[""unsupported-claim"", ""source-applicability-mismatch""]","[""evidence collection"", ""draft validation"", ""pre-publication""]","[""requires_citations"", ""has_supplied_sources"", ""multi_document""]",[],L1,L3,"[""research"", ""medical-evidence"", ""legal-evidence"", ""documentation""]","[""creative-exploration"", ""content-transformation"", ""action-execution""]","[""grounding-no-invention""]","[""critical-atomic-verification"", ""cross-checking-chains""]","[{""slug"": ""specificity-penalty-gate"", ""reason"": ""Discourage claim precision that the cited source cannot establish.""}]",sufficiently-recovered,PASS,Citation presence is insufficient; the nearby claim must be directly supported. No-citation outputs normally exclude it.
clarification-gateway,1.1.0,Clarification Gateway,"[""knowledge-explanation"", ""planning-design"", ""action-execution""]","[""constraint-reasoning"", ""software-engineering"", ""research-grounding""]","[""missing-required-information"", ""task-drift""]","[""action-permission-risk"", ""abstention-miscalibration""]","[""intake"", ""pre-execution"", ""exception-routing""]","[""missing_required_information"", ""evidence_unavailable"", ""high_stakes"", ""irreversible_action""]","[""acceptance_criteria_present"", ""reproduction_available""]",L0,L3,"[""general"", ""software-development"", ""research"", ""medical-evidence"", ""legal-evidence""]","[""creative-exploration""]","[""task-set-lock-in""]","[""fail-closed-abstention""]","[{""slug"": ""bounded-exit"", ""reason"": ""Ask only for materially blocking information and continue or stop once the boundary is resolved.""}]",sufficiently-recovered,PASS,Clarification is proportional; non-material missing detail should use a bounded explicit assumption or partial result.
cognitive-governor,1.1.0,Reasoning Effort Budget Controller,"[""planning-design"", ""workflow-automation"", ""evaluation-audit""]","[""research-grounding"", ""software-engineering"", ""content-authoring""]","[""over-branching"", ""under-verification"", ""over-verification""]","[""weak-stopping-rule"", ""premature-commitment""]","[""task triage"", ""budget assignment"", ""mid-run budget review"", ""exit decision""]","[""high_stakes"", ""context_window_pressure"", ""persistent_work"", ""tools_required""]","[""deterministic_verifier_available""]",L1,L4,"[""agent-development"", ""research"", ""software-development"", ""authoring""]","[""knowledge-explanation"", ""content-transformation""]","[""reasoning-scale-controller"", ""bounded-exit""]","[""dynamic-depth-allocation"", ""reasoning-throughput-governor""]","[{""slug"": ""bounded-exit"", ""reason"": ""Budget review must terminate when acceptance or diminishing-return gates are met.""}]",sufficiently-recovered,PASS,Use only when effort allocation materially affects quality or cost; trivial deterministic work suppresses it.
coherence-heartbeat,1.1.0,Periodic Whole-Task Consistency Check,"[""workflow-automation"", ""software-engineering""]","[""content-authoring"", ""research-grounding""]","[""task-drift"", ""lost-state""]","[""stale-state"", ""invariant-violation""]","[""during long execution"", ""after milestones"", ""before irreversible steps""]","[""persistent_work"", ""long_context"", ""handoff_expected"", ""durable_state_available""]",[],L2,L4,"[""long-context"", ""software-development"", ""research"", ""agent-development"", ""authoring""]","[""knowledge-explanation"", ""content-transformation"", ""creative-exploration""]","[""task-set-lock-in"", ""state-snapshot""]","[""coherence-loops""]","[{""slug"": ""dynamic-depth-allocation"", ""reason"": ""Heartbeat depth and frequency should scale with actual drift risk.""}]",sufficiently-recovered,PASS,A lightweight periodic check for genuinely long work; a one-operation task does not need a heartbeat.
coherence-loops,1.1.0,Coherence Loops,"[""evaluation-audit"", ""workflow-automation"", ""software-engineering""]","[""content-authoring"", ""research-grounding""]","[""invariant-violation"", ""domain-context-contamination""]","[""under-verification"", ""weak-stopping-rule""]","[""integration"", ""post-drift-detection"", ""pre-release""]","[""multi_document"", ""persistent_work"", ""handoff_expected"", ""acceptance_criteria_present""]","[""deterministic_verifier_available""]",L2,L4,"[""software-development"", ""long-context"", ""authoring"", ""agent-development""]","[""knowledge-explanation"", ""creative-exploration"", ""constraint-reasoning""]","[""coherence-heartbeat""]","[""reflectos""]","[{""slug"": ""crispr-edit"", ""reason"": ""Repair only the inconsistent region instead of repeatedly rewriting the whole artifact.""}]",sufficiently-recovered,PASS,Requires cross-part inconsistency and stable acceptance criteria; isolated deterministic corrections use a smaller repair.
compute-adaptive-drift,1.1.0,Runtime-Adaptive Drift Checks,"[""workflow-automation"", ""skill-agent-creation""]","[""evaluation-audit"", ""software-engineering""]","[""under-verification"", ""over-verification""]","[""invariant-violation"", ""capability-hallucination""]","[""runtime assessment"", ""plan construction"", ""checkpoint scheduling"", ""validation""]","[""tools_required"", ""multi_agent_available"", ""context_window_pressure"", ""high_stakes""]","[""missing_required_information""]",L2,L4,"[""agent-development"", ""software-development""]","[""knowledge-explanation"", ""content-transformation"", ""creative-exploration""]","[""domain-normalized-drift"", ""micro-scaffolding""]","[""drift-spectra-scaling"", ""dynamic-depth-allocation""]","[{""slug"": ""future-proof-mode-selector"", ""reason"": ""Adaptation must respect the declared host mode rather than invent capability.""}, {""slug"": ""zero-drift-zones"", ""reason"": ""Runtime scaling must never weaken factual or safety invariants.""}]",strongly-derivable,PASS,Scale checkpoint burden to runtime capability while keeping the strict minimum safe protocol intact.
contradiction-micro-repair,1.1.0,Contradiction Micro-Repair Pack,"[""evaluation-audit"", ""content-transformation""]","[""research-grounding"", ""software-engineering""]","[""evidence-conflict-suppression"", ""invariant-violation""]","[""under-editing"", ""source-applicability-mismatch""]","[""consistency validation"", ""localized repair"", ""post-repair verification""]","[""evidence_conflicting"", ""requires_exact_fidelity"", ""structured_output_required""]","[""evidence_unavailable""]",L1,L3,"[""documentation"", ""research"", ""software-development"", ""data-analysis""]","[""creative-exploration"", ""knowledge-explanation"", ""action-execution""]","[""micro-repair""]","[""multi-truth-gating"", ""coherence-loops""]","[{""slug"": ""multi-truth-gating"", ""reason"": ""Do not repair away a legitimate difference in scope, time, or governing authority.""}]",strongly-derivable,PASS,Only a localized adjudicable contradiction qualifies; architectural or unresolved authority conflicts require escalation.
controlled-drift-corridors,1.1.0,Bounded Change Rules,"[""content-transformation"", ""creative-exploration""]","[""content-authoring"", ""software-engineering""]","[""invariant-violation"", ""constraint-loss""]","[""mode-scope-authority-drift"", ""domain-context-contamination""]","[""task decomposition"", ""transformation planning"", ""generation"", ""semantic validation""]","[""requires_exact_fidelity"", ""contains_protected_literals"", ""structured_output_required""]",[],L1,L3,"[""authoring"", ""documentation"", ""long-context"", ""software-development""]","[""knowledge-explanation"", ""action-execution""]","[""zero-drift-zones""]","[""domain-normalized-drift"", ""drift-spectra-scaling""]","[{""slug"": ""clarification-gateway"", ""reason"": ""Allowed change dimensions must be explicit before applying a corridor.""}, {""slug"": ""mode-lock-in"", ""reason"": ""The authorized transformation mode constrains the corridor.""}]",sufficiently-recovered,PASS,Use when adaptation and fidelity coexist; all-zero-drift or unconstrained creative tasks do not need it.
cot-structured-state-block,1.1.0,Auditable Reasoning State,"[""workflow-automation"", ""research-grounding"", ""planning-design""]","[""action-execution"", ""evaluation-audit""]","[""lost-state"", ""poor-handoff""]","[""provenance-loss"", ""stale-state""]","[""after evidence intake"", ""at decision points"", ""before handoff or resume""]","[""persistent_work"", ""handoff_expected"", ""durable_state_available"", ""multi_agent_available""]","[""sensitive_data""]",L2,L4,"[""agent-development"", ""long-context"", ""research"", ""medical-evidence"", ""legal-evidence""]","[""knowledge-explanation"", ""content-transformation"", ""creative-exploration""]","[""stateblock"", ""state-snapshot""]","[""structured-state-projection"", ""sequential-memory-state-engine""]","[{""slug"": ""micro-scaffolding"", ""reason"": ""Persist only the minimum task state needed for audit and continuation.""}, {""slug"": ""working-memory-cues"", ""reason"": ""Keep task-critical state accessible without exposing hidden deliberation.""}]",strongly-derivable,PASS,"This is an explicit task-state and handoff record, never a request for private chain-of-thought."
counterfactual-integrity,1.1.0,Counterfactual Integrity Gate,"[""constraint-reasoning"", ""planning-design""]","[""creative-exploration"", ""decision-support"", ""research-grounding""]","[""branch-contamination"", ""domain-context-contamination""]","[""unsupported-claim"", ""constraint-loss""]","[""candidate-generation"", ""state-update"", ""pre-output-verification""]","[""branches_independent"", ""requires_exact_fidelity"", ""high_stakes""]",[],L1,L3,"[""general"", ""research"", ""data-analysis"", ""agent-development""]","[""content-understanding"", ""content-transformation"", ""knowledge-explanation""]","[""anti-tunnel-vision""]","[""cross-universe-consistency""]","[{""slug"": ""grounding-no-invention"", ""reason"": ""Keep factual baseline claims separate from hypothetical state.""}]",sufficiently-recovered,PASS,"Requires an explicit hypothetical branch and preserves factual, evaluative, and counterfactual phase boundaries."
counterfactual-silence-scaffold,1.1.0,No-Unrequested-Scenarios Guard,"[""content-understanding"", ""research-grounding"", ""evaluation-audit""]","[""content-authoring""]","[""domain-context-contamination"", ""unsupported-claim""]","[""branch-contamination"", ""mode-scope-authority-drift""]","[""task-framing"", ""draft-validation"", ""pre-output-verification""]","[""has_supplied_sources"", ""requires_citations"", ""requires_exact_fidelity""]","[""branches_independent""]",L1,L2,"[""research"", ""medical-evidence"", ""legal-evidence"", ""documentation""]","[""creative-exploration"", ""planning-design"", ""constraint-reasoning""]","[""mode-lock-in""]","[""domain-mode-isolation""]","[{""slug"": ""controlled-drift-corridors"", ""reason"": ""Do not suppress hypothetical content when the task explicitly authorizes bounded scenarios.""}]",source-gap,PASS,"A factual-output guard only; explicit scenario, hypothesis, and creative tasks suppress it."
crispr-edit,1.1.0,Precision Local System Edit,"[""software-engineering"", ""content-transformation"", ""action-execution""]","[""skill-agent-creation""]","[""over-editing"", ""invariant-violation""]","[""mode-scope-authority-drift"", ""under-verification""]","[""change planning"", ""targeted modification"", ""invariance validation""]","[""editing_requested"", ""file_write_allowed"", ""requires_exact_fidelity"", ""contains_protected_literals"", ""acceptance_criteria_present"", ""reproduction_available""]","[""review_only"", ""missing_required_information""]",L1,L3,"[""software-development"", ""agent-development"", ""documentation""]","[""knowledge-explanation"", ""research-grounding"", ""creative-exploration"", ""evaluation-audit""]","[""micro-repair""]","[""surgery-edit""]","[{""slug"": ""surgery-edit"", ""reason"": ""Escalate only when the target boundary is no longer local or the governing structure is defective.""}]",sufficiently-recovered,PASS,A precision structural edit prior; review-only work and non-isolatable architectural changes exclude it.
critical-atomic-verification,1.1.0,Critical Fact Verification,"[""evaluation-audit"", ""research-grounding"", ""quantitative-analysis""]","[""action-execution"", ""software-engineering"", ""decision-support""]","[""unsupported-precision"", ""under-verification""]","[""invalid-validation-signal"", ""unsupported-claim""]","[""pre-commitment"", ""evidence validation"", ""pre-release""]","[""high_stakes"", ""irreversible_action"", ""requires_exact_fidelity"", ""requires_citations"", ""structured_output_required""]",[],L1,L3,"[""medical-evidence"", ""legal-evidence"", ""data-analysis"", ""research"", ""software-development""]","[""creative-exploration"", ""content-transformation""]","[""grounding-no-invention"", ""citation-fidelity""]","[""cross-checking-chains"", ""parallel-qms""]","[{""slug"": ""dynamic-depth-allocation"", ""reason"": ""Concentrate verification on outcome-changing atoms rather than checking every detail equally.""}]",sufficiently-recovered,PASS,High activation cost is justified only when a small fact can invalidate the output or action.
cross-checking-chains,1.1.0,Cross-Checking Chains,"[""evaluation-audit"", ""research-grounding""]","[""quantitative-analysis"", ""software-engineering"", ""action-execution""]","[""under-verification"", ""invalid-validation-signal""]","[""provenance-loss"", ""evidence-coverage-gap""]","[""verification planning"", ""sequential validation"", ""final collapse""]","[""high_stakes"", ""evidence_conflicting"", ""multi_document"", ""deterministic_verifier_available""]",[],L2,L4,"[""medical-evidence"", ""legal-evidence"", ""research"", ""software-development"", ""data-analysis""]","[""knowledge-explanation"", ""creative-exploration"", ""content-transformation""]","[""critical-atomic-verification""]","[""parallel-qms""]","[{""slug"": ""bounded-exit"", ""reason"": ""Stop once ordered checks establish the dependency chain; correlated repetition adds no value.""}]",sufficiently-recovered,PASS,Use when checks have an orderable dependency chain; one direct authoritative check suppresses it.
cross-context-resonance-lock,1.1.0,Cross-Context Relationship Guard,"[""content-understanding"", ""workflow-automation""]","[""research-grounding"", ""planning-design""]","[""domain-context-contamination"", ""branch-contamination""]","[""poor-handoff"", ""lost-state""]","[""context intake"", ""cross-context handoff"", ""synthesis verification""]","[""multi_document"", ""persistent_work"", ""handoff_expected"", ""multi_agent_available"", ""tightly_shared_state""]",[],L2,L4,"[""long-context"", ""research"", ""agent-development""]","[""knowledge-explanation"", ""content-transformation"", ""action-execution""]","[""domain-mode-isolation""]","[""state-routing-bus""]","[{""slug"": ""anti-tunnel-vision"", ""reason"": ""Alignment between contexts must not erase credible differences or unresolved assumptions.""}]",source-gap,PASS,Preserves an explicit relationship without merging authority or facts; speculative relationships exclude it.
cross-universe-consistency,1.1.0,Alternative-Scenario Consistency Check,"[""constraint-reasoning"", ""decision-support"", ""evaluation-audit""]","[""planning-design"", ""research-grounding""]","[""branch-contamination"", ""invalid-validation-signal""]","[""evidence-conflict-suppression"", ""invariant-violation""]","[""after branch exploration"", ""before branch collapse"", ""post-synthesis""]","[""branches_independent"", ""evidence_conflicting"", ""high_stakes""]",[],L2,L4,"[""general"", ""research"", ""agent-development"", ""data-analysis""]","[""knowledge-explanation"", ""content-transformation"", ""action-execution""]","[""counterfactual-integrity"", ""multiverse-reasoning""]","[""multi-layer-consistency"", ""parallel-qms""]","[{""slug"": ""crispr-edit"", ""reason"": ""When one branch defect is local, repair that branch rather than expanding cross-world analysis.""}]",sufficiently-recovered,PASS,Only applies after multiple candidate paths will be compared or collapsed; one-branch work excludes it.
decision-first-scaffold,1.1.0,Decision-First Scaffold,"[""decision-support"", ""planning-design""]","[""evaluation-audit"", ""quantitative-analysis""]","[""task-drift"", ""premature-commitment""]","[""over-branching"", ""constraint-loss""]","[""task framing"", ""pre-analysis""]","[""high_stakes"", ""structured_output_required""]","[""missing_required_information""]",L1,L2,"[""general"", ""data-analysis"", ""software-development"", ""agent-development""]","[""content-understanding"", ""content-transformation"", ""creative-exploration""]","[""task-set-lock-in""]","[""dominant-driver-isolation-scaffold"", ""anti-tunnel-vision""]","[{""slug"": ""anti-tunnel-vision"", ""reason"": ""Decision framing must not prematurely narrow a genuinely exploratory task.""}]",source-gap,PASS,Use when options and criteria are known and analysis risks becoming directionless; faithful description alone excludes it.
domain-core-builder,1.1.0,Shared Domain Knowledge Component Builder,"[""skill-agent-creation"", ""workflow-automation""]","[""research-grounding"", ""content-understanding""]","[""packaging-activation-drift"", ""version-drift""]","[""provenance-loss"", ""stale-state"", ""domain-context-contamination""]","[""domain scoping"", ""source and variable modeling"", ""Core construction"", ""interface validation""]","[""recurrence_pattern_stable"", ""has_supplied_sources"", ""multi_document"", ""persistent_work""]","[""evidence_unavailable"", ""missing_required_information""]",L3,L4,"[""agent-development"", ""research"", ""medical-evidence"", ""legal-evidence""]","[""knowledge-explanation"", ""content-transformation"", ""creative-exploration"", ""action-execution""]","[""behavior-gene-builder""]","[""architect-orchestrator""]","[{""slug"": ""behavior-gene-builder"", ""reason"": ""Keep sourced knowledge and decision logic in the Core while reusable behavior remains in Genes.""}]",strongly-derivable,PASS,A high-cost packaging prior for recurring sourced domains; a small on-demand reference is normally sufficient instead.
domain-mode-isolation,1.1.0,Domain / Mode Isolation,"[""workflow-automation"", ""content-understanding""]","[""research-grounding"", ""action-execution"", ""skill-agent-creation""]","[""domain-context-contamination"", ""mode-scope-authority-drift""]","[""branch-contamination"", ""action-permission-risk""]","[""domain classification"", ""context loading"", ""mode transition"", ""output validation""]","[""multi_document"", ""multi_agent_available"", ""tightly_shared_state"", ""high_stakes""]",[],L1,L4,"[""agent-development"", ""medical-evidence"", ""legal-evidence"", ""research""]","[""knowledge-explanation"", ""content-transformation""]","[""mode-lock-in"", ""scoped-loader""]","[""cross-context-resonance-lock"", ""state-routing-bus""]","[{""slug"": ""clarification-gateway"", ""reason"": ""Clarify ambiguous domain or mode before isolating state.""}, {""slug"": ""state-routing-bus"", ""reason"": ""Permit only explicit reviewed transfers of shared facts between partitions.""}]",sufficiently-recovered,PASS,Requires materially distinct domains or semantic modes; isolation must not hide a required cross-domain dependency.
domain-normalized-drift,1.1.0,Domain-Calibrated Change Tolerance,"[""content-transformation"", ""evaluation-audit""]","[""skill-agent-creation"", ""content-authoring""]","[""domain-context-contamination"", ""invariant-violation""]","[""under-verification"", ""over-verification"", ""constraint-loss""]","[""domain classification"", ""risk assessment"", ""corridor initialization"", ""validation planning""]","[""high_stakes"", ""requires_exact_fidelity"", ""contains_protected_literals"", ""sensitive_data""]","[""missing_required_information""]",L2,L3,"[""medical-evidence"", ""legal-evidence"", ""documentation"", ""authoring"", ""agent-development""]","[""knowledge-explanation"", ""creative-exploration"", ""constraint-reasoning""]","[""controlled-drift-corridors""]","[""drift-spectra-scaling"", ""risk-tier-scaling""]","[{""slug"": ""clarification-gateway"", ""reason"": ""An ambiguous high-stakes domain must be clarified rather than assigned a stereotyped tolerance.""}, {""slug"": ""zero-drift-zones"", ""reason"": ""Explicit protected regions override domain-default change tolerance.""}]",strongly-derivable,PASS,"Domain supplies a prior, never a substitute for task-specific evidence or explicit fidelity policy."
dominant-driver-isolation-scaffold,1.1.0,Dominant-Driver Isolation Scaffold,"[""decision-support"", ""software-engineering"", ""quantitative-analysis""]","[""planning-design"", ""research-grounding""]","[""tunnel-vision"", ""premature-commitment""]","[""unsupported-claim"", ""invalid-validation-signal""]","[""diagnosis"", ""prioritization"", ""intervention selection""]","[""evidence_conflicting"", ""multi_document"", ""high_stakes""]","[""evidence_unavailable"", ""missing_required_information""]",L1,L3,"[""software-development"", ""data-analysis"", ""research"", ""general""]","[""content-transformation"", ""creative-exploration"", ""action-execution""]","[""decision-first-scaffold"", ""anti-tunnel-vision""]","[""critical-atomic-verification""]","[{""slug"": ""multi-layer-consistency"", ""reason"": ""A prioritized driver must still fit known joint causes and system-wide constraints.""}]",source-gap,PASS,Use for evidence-supported prioritization among plausible causes; correlation alone or required complete hazard inventory excludes it.
drift-immunity-propagation,1.1.0,Downstream Invariant Protection,"[""content-transformation"", ""workflow-automation"", ""evaluation-audit""]","[""software-engineering"", ""content-authoring""]","[""invariant-violation"", ""provenance-loss""]","[""lost-state"", ""domain-context-contamination""]","[""artifact derivation"", ""state projection"", ""agent handoff"", ""final aggregation""]","[""persistent_work"", ""handoff_expected"", ""multi_document"", ""requires_exact_fidelity"", ""contains_protected_literals""]","[""evidence_unavailable""]",L2,L4,"[""long-context"", ""agent-development"", ""software-development"", ""research"", ""documentation""]","[""knowledge-explanation"", ""creative-exploration"", ""constraint-reasoning""]","[""zero-drift-zones"", ""drift-suppression""]","[""structured-state-projection"", ""working-memory-lock-in""]","[{""slug"": ""controlled-drift-corridors"", ""reason"": ""Propagate only verified invariants while preserving explicitly allowed downstream change.""}, {""slug"": ""scoped-loader"", ""reason"": ""Load protected lineage only where a downstream consumer depends on it.""}]",strongly-derivable,PASS,Requires verified protected material and downstream derivations capable of carrying and validating lineage metadata.
