source,source_type,date_accessed,task_domain,claim_or_pattern,supports_archetype,supports_failure_mode,supports_environment_modifier,notes
"B7 GitHub Copilot task best practices https://docs.github.com/en/copilot/using-github-copilot/using-copilot-coding-agent-to-work-on-tasks/best-practices-for-using-copilot-to-work-on-tasks","official platform guidance","2026-09-03","B software engineering","Delegated coding works better with a clear problem, acceptance criteria, and scope; broad, sensitive, or ambiguous tasks need more care.","localized-repair; feature-implementation; documentation-maintenance","underspecified-task; over-editing","acceptance_criteria_present; security_sensitive; production_critical","Product guidance generalized as task-scoping signals."
"B8 GitHub Copilot code review https://docs.github.com/en/copilot/concepts/agents/code-review","official platform guidance","2026-09-03","B software engineering","Automated code review may miss defects or produce false positives and should be validated and supplemented with human review.","code-review","review-false-positive; review-false-negative","review_only; human_review_available; large_repository","Supports review as a separate normally read-only task."
"B9 GitHub Copilot Agents application card https://docs.github.com/en/copilot/responsible-use/agents","official platform application card","2026-09-03","B software engineering","Generated code and review findings require testing, security review, and human oversight before merge.","code-review; feature-implementation; release-integration","weak-verification; authority-scope-violation","security_sensitive; human_review_available; push_or_merge_requested","Evidence concerns platform limitations and responsible use."
"B10 GitHub Copilot cloud-agent risks https://docs.github.com/en/copilot/concepts/agents/cloud-agent/risks-and-mitigations","official platform security guidance","2026-09-03","B software engineering","Branch, credential, invocation, and merge constraints reduce the reach of coding-agent actions.","issue-to-patch; release-integration","authority-scope-violation","branch_write_allowed; push_or_merge_requested; human_review_available","Capability and permission remain separate from user authority."
"C1 OpenAI Introducing deep research https://openai.com/index/introducing-deep-research/","official provider product report","2026-09-03","C research and knowledge","Open-ended research can require iterative search, source interpretation, synthesis, and course changes, with remaining source and citation risks.","open-web-investigation; evidence-synthesis","unsupported-claim; source-authority-mismatch; citation-source-mismatch","external_research_allowed; web_available; requires_citations","Evidence supports open investigation as distinct from direct lookup."
"C2 Anthropic multi-agent research system https://www.anthropic.com/engineering/multi-agent-research-system","official provider engineering report","2026-09-03","C research and knowledge","Independent breadth-first searches can benefit from parallel workers but cost more tokens and fit poorly when context is tightly coupled.","breadth-first-research; open-web-investigation","premature-search-closure; research-overreach","multi_agent_available; latency_or_cost_constrained","Supports conditional L5 research only for separable breadth."
"C3 BrowseComp https://arxiv.org/abs/2504.12516","benchmark paper","2026-09-03","C research and knowledge","Hard-to-find factual retrieval can require searching many sites while targeting short stable verifiable answers.","targeted-fact-retrieval","retrieval-miss; premature-search-closure","external_research_allowed; web_available","A lookup benchmark is not an ontology for synthesis or literature review."
"C4 WebGPT https://arxiv.org/abs/2112.09332","peer-reviewed paper","2026-09-03","C research and knowledge","Browser-assisted long-form QA collected references during browsing to support later factual evaluation.","open-web-investigation; source-bounded-qa","provenance-loss; unsupported-claim","web_available; requires_citations","Supports preserving source pointers during retrieval."
"C5 Retrieval-Augmented Generation https://papers.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html","peer-reviewed paper","2026-09-03","C research and knowledge","Retrieval can improve knowledge-intensive generation in studied settings compared with a parametric-only baseline.","source-bounded-qa; targeted-fact-retrieval","retrieval-miss; unsupported-claim","has_supplied_sources; external_research_allowed","Does not establish universal retrieval benefit or corpus quality."
"C6 FEVER https://aclanthology.org/N18-1074/","peer-reviewed benchmark paper","2026-09-03","C research and knowledge","Claim verification includes supported, refuted, and not-enough-information outcomes tied to evidence.","claim-verification","unsupported-claim; poor-uncertainty-handling","has_supplied_sources; evidence_unavailable","Supports a legitimate insufficient-evidence state."
"C7 QASPER https://aclanthology.org/2021.naacl-main.365/","peer-reviewed benchmark paper","2026-09-03","C research and knowledge","Research-paper QA may require evidence distributed across several document sections.","single-document-analysis; source-bounded-qa","retrieval-miss; evidence-selection-omission","long_context; has_supplied_sources","Single-document does not necessarily mean simple."
"C8 ALCE https://aclanthology.org/2023.emnlp-main.398/","peer-reviewed paper","2026-09-03","C research and knowledge","Citation correctness, citation completeness, answer correctness, and fluency are separable; more passages did not automatically improve results.","evidence-synthesis; citation-bearing-authoring","citation-source-mismatch; unsupported-claim; context-overload","requires_citations; multi_document; long_context","Supports claim-level citation checks and bounded retrieval."
"C9 PRISMA 2020 https://www.bmj.com/content/372/bmj.n71","reporting standard","2026-09-03","C research and knowledge","Systematic reviews use explicit methods for search, selection, appraisal, synthesis, and reporting.","systematic-evidence-review","question-drift; evidence-selection-omission","structured_output_required; has_supplied_sources","Supports reserving systematic review for explicit protocol signals."
"C10 GAIA https://arxiv.org/abs/2311.12983","peer-reviewed benchmark paper","2026-09-03","C research and knowledge","Information-seeking can combine reasoning, browsing, multimodal input, and tools even when the requested answer is short.","targeted-fact-retrieval; open-web-investigation","retrieval-miss; under-verification","web_available; multimodal_input; tools_required","Complexity depends on evidence path, not answer length alone."
"D1 Lost in the Middle https://arxiv.org/abs/2307.03172","peer-reviewed paper","2026-09-03","D long context and state","Use of relevant information varies with its position in long inputs; material in the middle can be used less reliably.","long-document-qa; multi-document-corpus-analysis","middle-information-loss; retrieval-miss","long_context; context_window_pressure","Fitting in a context window does not establish reliable use."
"D2 LongBench https://aclanthology.org/2024.acl-long.172/","peer-reviewed benchmark paper","2026-09-03","D long context and state","Long-context evaluation spans QA, summarization, few-shot learning, retrieval, and code completion, with degradation as context grows.","long-document-qa; long-document-transformation; repository-understanding","context-overload; middle-information-loss","long_context; multi_document","Supports long context as a modifier, not one task archetype."
"D3 RULER https://arxiv.org/abs/2404.06654","benchmark paper","2026-09-03","D long context and state","Effective context performance can be below advertised window size and degrade with distractors, hops, chains, and aggregation demands.","long-document-qa; multi-document-corpus-analysis","distractor-contamination; retrieval-miss","context_window_pressure; multi_document","Simple needle retrieval is not a complete long-context validator."
"D4 ALCE https://aclanthology.org/2023.emnlp-main.398/","peer-reviewed paper","2026-09-03","D long context and state","Additional retrieved passages do not automatically improve answer or citation quality; compressed passages may need source rehydration.","multi-document-corpus-analysis; long-document-qa","context-overload; lossy-compaction; provenance-loss","long_context; requires_citations","Supports progressive loading with retained source pointers."
"D5 Anthropic Effective context engineering https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents","official provider engineering guidance","2026-09-03","D long context and state","Context is finite; small high-signal working sets, just-in-time retrieval, and compaction support long-horizon work.","long-horizon-project-execution; stateful-tool-workflow","context-overload; continuation-thrash","context_window_pressure; persistent_work","Engineering observation; not a guarantee for all models or tasks."
"D6 Anthropic Effective harnesses for long-running agents https://www.anthropic.com/engineering/effective-harnesses-for-long-running-agents","official provider engineering report","2026-09-03","D long context and state","Compaction alone did not prevent partial work or premature completion; explicit requirements, progress artifacts, and clean session boundaries were used.","long-horizon-project-execution; multi-session-continuation","lost-state; partial-session-handoff; premature-completion","persistent_work; handoff_expected","Supports explicit durable progress state."
"D7 OpenAI computer environment for Responses API https://openai.com/index/equip-responses-api-computer-environment/","official provider engineering report","2026-09-03","D long context and state","Bounded tool output, compaction, and filesystem staging allow targeted retrieval instead of prompt-wide ingestion.","stateful-tool-workflow; long-horizon-project-execution","context-overload; lost-state","shell_available; context_window_pressure; persistent_work","Supports disposable active context plus explicit project artifacts."
"D8 MemGPT https://arxiv.org/abs/2310.08560","paper","2026-09-03","D long context and state","Explicit memory tiers move information between limited active context and external storage for long documents and sessions.","multi-session-continuation; long-document-qa","lost-state; lossy-compaction","persistent_work; long_context","Supports explicit storage/retrieval paths, not hidden-memory claims."
"D9 RepoBench https://openreview.net/forum?id=pPjZIOuQuF","peer-reviewed benchmark paper","2026-09-03","D long context and state","Repository completion separates cross-file retrieval from generation.","repository-understanding","retrieval-miss; context-overload","large_repository; long_context","A project profile must not cause indiscriminate code ingestion."
"D10 SWE-bench https://arxiv.org/abs/2310.06770","peer-reviewed benchmark paper","2026-09-03","D long context and state","Issue resolution may coordinate code, tests, and environment state across large project context.","long-horizon-project-execution; repository-understanding","constraint-displacement; incomplete-change-coverage","large_repository; tools_required; persistent_work","Current issue still determines the working set."
"D11 Anthropic multi-agent research system https://www.anthropic.com/engineering/multi-agent-research-system","official provider engineering report","2026-09-03","D long context and state","Saved plans, retries, and checkpoints support resumable work; tightly coupled shared-context tasks are a poor multi-agent fit.","cross-agent-handoff; multi-session-continuation","lost-state; branch-contamination","handoff_expected; multi_agent_available; tightly_shared_state","Supports explicit ownership and penalizing shared-context orchestration."
"E1 Anthropic Building effective agents https://www.anthropic.com/engineering/building-effective-agents","official provider guidance","2026-09-03","E tools and actions","Tool-using loops need environmental observations, stopping conditions, and well-described tool interfaces.","tool-assisted-observation; iterative-tool-loop","tool-misselection; unbounded-tool-loop","tools_required; shell_available","Supports simple composable loops before autonomy."
"E2 Anthropic Trustworthy agents in practice https://www.anthropic.com/research/trustworthy-agents","official provider guidance","2026-09-03","E tools and actions","Permissions can vary by action and many-step work may use plan review to reduce approval fatigue.","bounded-local-mutation; consequential-action","action-permission-violation; approval-fatigue","human_approval_available; irreversible_action","Product patterns generalized at the control level."
"E3 OpenAI A practical guide to building agents https://openai.com/business/guides-and-resources/a-practical-guide-to-building-ai-agents/","official provider guidance","2026-09-03","E tools and actions","Tool risk differs by read/write status, reversibility, permissions, and impact; high-risk actions and repeated failure warrant intervention.","external-state-mutation; consequential-action","unsafe-retry; authority-scope-conflation","irreversible_action; human_approval_available","Supports risk-tiered controls."
"E4 OpenAI Agents SDK human in the loop https://openai.github.io/openai-agents-python/human_in_the_loop/","official SDK documentation","2026-09-03","E tools and actions","Approval can bind to a concrete tool call and arguments, interrupt execution, serialize state, and resume after approval or rejection.","long-running-action-workflow; consequential-action","action-permission-violation; partial-state-loss","human_approval_available; persistent_work","Implementation evidence for call-specific approval and resumability."
"E5 MCP ToolAnnotations https://modelcontextprotocol.io/specification/2025-11-25/schema#toolannotations","open protocol specification","2026-09-03","E tools and actions","Tool metadata can describe read-only, destructive, idempotent, and open-world properties, but untrusted annotations are hints.","tool-assisted-observation; external-state-mutation","capability-hallucination; unsafe-retry","open_world_tool; tool_metadata_untrusted","Unknown metadata must not be treated as safe."
"E6 MCP Authorization https://modelcontextprotocol.io/specification/2025-11-25/basic/authorization","open protocol specification","2026-09-03","E tools and actions","Authentication, scopes, audience validation, and protected-resource discovery constrain access to MCP resources.","external-state-mutation; cross-system-workflow","authority-scope-conflation","credential_scope; external_system_required","Task authority remains a repository synthesis distinction."
"E7 GitHub Agentic Workflows https://docs.github.com/en/copilot/concepts/agents/about-github-agentic-workflows","official platform guidance","2026-09-03","E tools and actions","Read-only defaults and declared safe output surfaces bound automated workflow reach.","bounded-local-mutation; cross-system-workflow","action-permission-violation; unsafe-target-resolution","file_write_allowed; review_only","Evidence concerns a specific platform control design."
"E8 GitHub Copilot cloud-agent risks https://docs.github.com/en/copilot/concepts/agents/cloud-agent/risks-and-mitigations","official platform security guidance","2026-09-03","E tools and actions","Restricted branches and credentials plus human merge review layer defenses around agent changes.","bounded-local-mutation; long-running-action-workflow","action-permission-violation; unverified-side-effect","branch_write_allowed; human_approval_available","Supports narrow write surfaces and review, not general safety proof."
"E9 IETF RFC 9110 idempotent methods https://www.rfc-editor.org/rfc/rfc9110.html#section-9.2.2","internet standard","2026-09-03","E tools and actions","Automatic retry is safe only for idempotent operations or when the client knows the original non-idempotent request was not applied.","iterative-tool-loop; external-state-mutation","unsafe-retry; false-reversibility","idempotent_operation; irreversible_action","HTTP semantics generalized only to the retry-safety principle."
"F1 PlanBench https://arxiv.org/abs/2206.10498","benchmark paper","2026-09-03","F planning and reasoning","Formal planning can be evaluated through action preconditions, effects, goal reachability, and plan validity.","plan-generation; plan-validation","constraint-omission; goal-drift","hard_constraints_present; deterministic_verifier_available","Supports explicit planning state rather than generic long-form output."
"F2 TravelPlanner https://arxiv.org/abs/2402.01622","benchmark paper","2026-09-03","F planning and reasoning","Real-world planning combines information gathering, tool use, commonsense, and multiple explicit constraints; agents can lose task and constraints.","plan-generation; adaptive-replanning","goal-drift; constraint-omission; tool-selection-error","tools_required; hard_constraints_present; current_state_known","Evidence is bounded to travel-planning tasks."
"F3 Tree of Thoughts https://arxiv.org/abs/2305.10601","paper","2026-09-03","F planning and reasoning","Search over candidate reasoning states with evaluation, lookahead, and backtracking can help tasks with consequential early choices.","logical-constraint-solving; creative-ideation; plan-generation","premature-commitment; tunnel-vision","branch_budget; deterministic_verifier_available","Supports conditional branching, not universal tree search."
"F4 Anthropic Building effective agents https://www.anthropic.com/engineering/building-effective-agents","official provider guidance","2026-09-03","F planning and reasoning","Workflow complexity and parallelism should be added only when task structure and benefit justify latency and cost.","task-decomposition; plan-generation","over-branching; over-scaffolding","latency_or_cost_constrained; parallel_workers_available","Supports complexity ceilings and conditional parallelism."
"F5 Self-Refine https://arxiv.org/abs/2303.17651","peer-reviewed paper","2026-09-03","F planning and reasoning","Generate-feedback-refine loops improved outputs in studied generation and reasoning tasks without added training.","concept-selection; argument-evaluation","revision-without-progress","single_best_answer_requested","Does not establish independent validation because one model supplies feedback."
"F6 CRITIC https://arxiv.org/abs/2305.11738","peer-reviewed paper","2026-09-03","F planning and reasoning","Tool-grounded critique can support correction; self-verification without reliable external feedback can be inefficient or unreliable.","hypothesis-testing; argument-evaluation","self-validation-loop; under-verification","external_evidence_available; deterministic_verifier_available","Supports external or deterministic checks when available."
"F7 ZebraLogic https://arxiv.org/abs/2502.01100","paper","2026-09-03","F planning and reasoning","Logic-grid accuracy declines as controllable constraint-search complexity grows, including with increased inference compute.","logical-constraint-solving","constraint-omission; over-branching","hard_constraints_present; branch_budget","Benchmark does not imply every reasoning task needs search."
"F8 ConstraintBench https://arxiv.org/abs/2602.22465","benchmark paper","2026-09-03","F planning and reasoning","Constraint feasibility and solver-proven optimality can diverge and should be evaluated separately.","logical-constraint-solving; plan-validation","feasibility-optimality-confusion","hard_constraints_present; objective_function_present; deterministic_verifier_available","Supports feasibility checks before ranking."
"F9 StepGame https://arxiv.org/abs/2204.08292","peer-reviewed benchmark paper","2026-09-03","F planning and reasoning","Multi-hop spatial reasoning requires robust relation composition despite varied language and distractors.","spatial-relational-reasoning","spatial-frame-drift; relation-inversion; distractor-contamination","multi_step_relations; spatial_frame_defined","Supports explicit relational state and inverse checks."
"F10 Divergent Creativity https://arxiv.org/abs/2405.13012","paper","2026-09-03","F planning and reasoning","Divergent association and creative writing measure forms of originality and diversity distinct from ordinary correctness.","creative-ideation; concept-selection","early-convergence; endless-ideation","diversity_requested; single_best_answer_requested","One creativity test does not establish a general creative faculty."
"F11 QuestBench https://arxiv.org/abs/2503.22674","paper","2026-09-03","F planning and reasoning","Models that solve complete problems may still fail to identify the minimal question needed for an underspecified problem.","logical-constraint-solving; plan-generation","missing-premise-guessing; underspecified-task","missing_required_information","Supports clarification as a reasoning outcome."
"G1 NIST AI RMF Core https://airc.nist.gov/airmf-resources/airmf/5-sec-core/","government risk-management framework","2026-09-03","G high stakes and validation","Risk controls should reflect context and risk tolerance; task scope, knowledge limits, oversight, impacts, and error costs should be documented.","consequential-decision-support; high-impact-action","under-verification; over-verification","high_stakes; human_review_available; impact_magnitude","Framework guidance; not domain policy or Upgradeable efficacy evidence."
"G2 NIST AI RMF Playbook https://airc.nist.gov/airmf-resources/playbook/","government implementation guidance","2026-09-03","G high stakes and validation","Organizations should select risk-management practices appropriate to their context rather than apply one universal checklist.","high-impact-review; consequential-evidence-synthesis","over-verification; evaluation-overclaim","high_stakes; impact_magnitude","Supports proportional controls."
"G3 NIST Generative AI Profile https://doi.org/10.6028/NIST.AI.600-1","government risk-management profile","2026-09-03","G high stakes and validation","Capability claims, sources, citations, incidents, overrides, recovery, and escalation need documented evaluation and management.","high-impact-review; incident-triage-and-escalation","citation-source-mismatch; evaluation-overclaim; orphaned-alert","high_stakes; evidence_conflicting; human_review_available","Control guidance, not a substantive answer policy."
"G4 GAO AI Accountability Framework https://www.gao.gov/products/gao-21-519sp","government accountability framework","2026-09-03","G high stakes and validation","Governance, data, performance against objectives, and monitoring are complementary accountability areas.","high-impact-review; incident-triage-and-escalation","under-verification; orphaned-alert","structured_output_required; persistent_work","Supports multi-dimensional assurance rather than one metric."
"G5 OpenAI Model Spec uncertainty https://model-spec.openai.com/2025-02-12.html#express-uncertainty","official provider specification","2026-09-03","G high stakes and validation","Uncertainty disclosure should reflect uncertainty and the impact of error, including knowledge, recency, intent, world, and prediction uncertainty.","critical-claim-verification; consequential-decision-support","poor-uncertainty-handling; unsupported-precision","high_stakes; time_sensitive; evidence_unavailable","Supports qualitative uncertainty states rather than invented probabilities."
"G6 OpenAI A practical guide to building agents https://openai.com/business/guides-and-resources/a-practical-guide-to-building-ai-agents/","official provider guidance","2026-09-03","G high stakes and validation","Sensitive, irreversible, or high-stakes actions and exceeded failure thresholds warrant human intervention.","high-impact-action; incident-triage-and-escalation","failure-to-abstain; approval-validation-conflation","irreversible_action; human_approval_available; high_stakes","Approval and correctness validation remain separate."
"H1 Agent Skills specification https://agentskills.io/specification","open format specification","2026-09-03","H skills and workflows","A Skill is a directory with required metadata and instructions plus optional scripts, references, and assets; progressive disclosure limits context load.","procedural-skill; reference-packaging; deterministic-automation","activation-ambiguity; progressive-disclosure-failure","large_reference_material; compatibility_constraints","Supports the package form; does not prove task performance."
"H2 Agent Skills client implementation https://agentskills.io/client-implementation/adding-skills-support","open format implementation guidance","2026-09-03","H skills and workflows","Clients can disclose compact Skill metadata first and load the full Skill only when the task matches.","procedural-skill; skill-validation-distribution","always-on-context-bloat; activation-ambiguity","host_support_unknown; large_reference_material","Supports just-in-time loading and location-based references."
"H3 GitHub About agent skills https://docs.github.com/en/copilot/concepts/agents/about-agent-skills","official platform guidance","2026-09-03","H skills and workflows","Skills package instructions, scripts, and resources for repeatable specialized tasks and can live at project or personal scope.","procedural-skill; project-guidance","overbroad-skill; stale-project-context","project_specific_context; cross_project_portability","Platform paths vary; core identity should remain portable."
"H4 GitHub Copilot customization cheat sheet https://docs.github.com/en/copilot/reference/customization-cheat-sheet","official platform guidance","2026-09-03","H skills and workflows","Custom instructions, prompts, agents, subagents, Skills, hooks, and MCP servers are separate customization forms.","prompt-reuse; project-guidance; specialist-agent-configuration; external-capability-integration","duplicate-guidance; agent-proliferation","applies_to_most_project_tasks; external_system_required","Supports packaging distinctions."
"H5 MCP server primitives https://modelcontextprotocol.io/specification/2025-06-18/server/index","open protocol specification","2026-09-03","H skills and workflows","MCP distinguishes user-controlled prompts, application-controlled resources, and model-controlled tools.","prompt-reuse; reference-packaging; external-capability-integration","capability-by-prose; permission-leak","external_system_required; write_or_action_required","Supports choosing packages by missing capability."
"H6 GitHub custom agents and subagent orchestration https://docs.github.com/en/copilot/how-tos/copilot-sdk/features/custom-agents","official platform guidance","2026-09-03","H skills and workflows","Custom agents have their own prompts and tool scopes; subagents execute delegated work in isolated context and return results.","specialist-agent-configuration; delegated-subtask; multi-agent-orchestration","context-fragmentation; delegation-overhead","isolated_context_beneficial; distinct_tool_boundary","Supports agent thresholds beyond repetition alone."
"H7 OpenAI A practical guide to building agents https://openai.com/business/guides-and-resources/a-practical-guide-to-building-ai-agents/","official provider guidance","2026-09-03","H skills and workflows","A single agent with tools is often sufficient; multi-agent manager and handoff patterns add separation with overhead.","specialist-agent-configuration; multi-agent-orchestration","agent-proliferation; delegation-overhead","distinct_tool_boundary; parallel_independent_work","Supports selecting the least complex form."
"H8 Anthropic subagent prompting guidance https://docs.anthropic.com/en/docs/build-with-claude/prompt-engineering/prompt-templates-and-variables","official provider documentation","2026-09-03","H skills and workflows","Subagents fit parallel or isolated independent work but can be excessive for simple, sequential, or tightly shared-context tasks.","delegated-subtask; multi-agent-orchestration","delegation-overhead; context-fragmentation","parallel_independent_work; tightly_shared_state","Supports conditional delegation."
"H9 Agent Skills creator best practices https://agentskills.io/skill-creation/best-practices","open format guidance","2026-09-03","H skills and workflows","Overly comprehensive Skills can distract; concise procedures and conditionally loaded focused references support progressive disclosure.","procedural-skill; reference-packaging","overbroad-skill; deep-reference-chain; always-on-context-bloat","large_reference_material","Supports token and scope budgets."
"H10 Anthropic Agent Skills https://www.anthropic.com/engineering/equipping-agents-for-the-real-world-with-agent-skills","official provider engineering guidance","2026-09-03","H skills and workflows","Skills package procedural knowledge, scripts, and resources into discoverable composable task-specific folders.","procedural-skill; deterministic-automation; reference-packaging","wrapper-per-component; capability-by-prose","stable_procedure; deterministic_step_available","Supports Skill composition, not automatic conversion of every task."
